target_mean_dependencies,actual_mean_indegree,mean_avalanche_size,median_avalanche_size,p95_avalanche_size,nonzero_probability,large_avalanche_probability,max_avalanche_size,mean_max_depth,mean_vulnerable_fraction,mean_stress_ratio
1.0,1.3408888888888888,0.9439555555555555,0.0,3.0,0.2157777777777778,0.007244444444444445,221,0.3118222222222222,0.41035664439495173,0.2978761280211169
2.0,2.1724444444444444,1.4309777777777777,0.0,4.0,0.23835555555555554,0.012666666666666666,342,0.35986666666666667,0.3612467211086365,0.3087968390662377
3.0,3.0164444444444443,1.9246222222222222,0.0,5.0,0.2404888888888889,0.015733333333333332,360,0.3642666666666667,0.30877366988369215,0.3113396403530479
4.0,4.009777777777778,2.375288888888889,0.0,6.0,0.24382222222222222,0.019866666666666668,402,0.38208888888888887,0.27185053204652315,0.32538452858203415
5.0,4.9448888888888884,3.0492444444444446,0.0,6.0,0.24608888888888888,0.021822222222222222,424,0.38177777777777777,0.22735798069784707,0.3266679907142268
